strategy,final_value,cumulative_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown
AAPL_a2c_risk,1720465.0221432878,0.7204650221432907,0.22986327303110687,0.31258652305067447,0.7353588721220811,1.103215171661586,-0.3034843272441978
TSLA_a2c,2016152.6767909017,1.0161526767908993,0.4144516750760214,0.6004606399476075,0.6902228847375973,0.9866650406667997,-0.7338757955458173
TSLA_a2c_risk,2011157.7074046186,1.0111577074046236,0.41255032857009183,0.5986470693987261,0.6891378069961194,0.9848642622193807,-0.7323388619696931
AAPL_a2c,1589857.5757453993,0.5898575757453997,0.19913894872486004,0.2981854662851937,0.6678358647245317,0.9867400583959423,-0.298414205074798
JNJ_a2c_risk,1331969.274503021,0.33196927450302005,0.11251634233661909,0.18366772893218752,0.6126081211477361,0.9113042563891549,-0.16627108881890695
JNJ_a2c,1331969.274503021,0.33196927450302005,0.11251634233661909,0.18366772893218752,0.6126081211477361,0.9113042563891549,-0.16627108881890695
JNJ_ppo_risk,1232974.3190588225,0.23297431905882182,0.07861912741939629,0.13214180077680557,0.5949603150345145,0.880252242556479,-0.1273873671494985
AAPL_ppo_risk,1228944.4445315935,0.22894444453159069,0.10087093141869286,0.2535244728316306,0.3978745337365626,0.5587394359181224,-0.3026824162306191
AAPL_ppo,1109014.7771033638,0.10901477710336427,0.062421900346587254,0.23648250440670324,0.263959909013962,0.35425980091140974,-0.30268572055181986
JNJ_ppo,1000000.0,0.0,0.0,0.0,0.0,,0.0
TSLA_ppo,1000000.0,0.0,0.0,0.0,0.0,,0.0
TSLA_ppo_risk,936955.8717382561,-0.06304412826174566,-0.01944238488521237,0.06771107537858961,-0.28713744061078805,-0.33393474307589416,-0.16897820310342226
