strategy,final_value,cumulative_return,annualized_return,volatility,sharpe_ratio,sortino_ratio,max_drawdown
AAPL_a2c,1707679.2981907197,0.7076792981907254,0.2270037727757859,0.311395632562381,0.7289882998930978,1.0928404661367546,-0.30363538537909573
TSLA_a2c,2005305.261918809,1.0053052619188074,0.41003553668641657,0.5961299180051014,0.6878291531795049,0.9839591262039187,-0.731494738308831
JNJ_a2c,1318145.4996779938,0.31814549967799244,0.10577373239924887,0.16481417555242545,0.6417756970522447,0.968949425656391,-0.1273940061518577
JNJ_ppo,1168479.0415311898,0.16847904153119164,0.058090718324310515,0.1107668059830114,0.5244415762355741,0.7467404610788222,-0.12143141450080752
AAPL_ppo,1025882.7800664364,0.02588278006643696,0.03084814229300032,0.21160856661200902,0.14577926965292176,0.18834732612917404,-0.2807176219397207
TSLA_ppo,1000000.0,0.0,0.0,0.0,0.0,,0.0
